ID_USUARIO;NOMBRE;APELLIDO;FECHA_FACTURACION ;TELEFONO;DIRECCION_DE_ENVIO;NUMERO_DE_FACTURA;ID_PRODUCTO;DESCRIPCION_ PRODUCTO;CORREO_ELECTRONICO;COMPROBANTE_ENVIO
10366453;JOSE ENRIQUE;GONZALEZ;1978-12-06;3004586789;KRA 3 No.4-59 SUR;FACT001;PRO6;ZAPATILA MARCA ADIDAS AERODINAMICA X100 , COLOR BLANCO (TALLA 8 HASTA 46);OSC.466@GMAIL.COM;AXC1569974
10366466;VICTOR MANUEL;ARIAS PEREZ;1977-06-07;3004586790;KRA 1 No.1-59 SUR;FACT002;PRO7;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);AR.466@GMAIL.COM;AXC1569975
10366471;DERLY;DELGADO GIL;1976-07-26;3004586791;KRA 100 No.4-59 ;FACT003;PRO12;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);O6@GMAIL.COM;AXC1569976
12622881;ARMANDO SEGUNDO;CORRO HERNANDEZ;1976-07-18;3004586792;KRA 2 No.4-59 SUR;FACT004;PRO6;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);OSFFDF466@GMAIL.COM;AXC1569977
15036645;OLGA CECILIA;GARCIA DE MEJIA;1976-01-18;3004586793;KRA 3 No.4-59 SUR;FACT005;PRO10;BOTA ALPINISTA AZUL TIMBERLAND W3M  (TALLA 27 HASTA 42);LKSDLKSD@GMAIL.COM;AXC1569978
150366455;ISRAEL;HERRERA GONGORA;1975-07-27;3004586794;KRA 3 No.4-59 SUR;FACT006;PRO8;BOTA ALPINISTA UNDERARMOR  XL3X ARENA  (TALLA 27 HASTA 42);OPKDSD68925@GMAIL.COM;AXC1569979
150366456;CARMEN;LOPEZ PAREDES;1969-12-01;3004586795;KRA 31No.4-59 SUR;FACT007;PRO9;BOTA ALPINISTA AZUL TIMBERLAND HIPOALERGICA TERMICA  (TALLA 27 HASTA 42);PAOSKAOS56362@GMAIL.COM;AXC1569980
150366465;GUSTAVO;GARCIA MOLINA;1977-08-10;3004586796;CALLE 3 SUR;FACT008;PRO6;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);O466@GMAIL.COM;AXC1569981
150644990;WILSON DE JESUS;ANDRADE BERTEL;1977-10-23;3004586797;CALLE 2 SUR;FACT009;PRO2;BOTA ALPINISTA AZUL TIMBERLAND W3M  (TALLA 27 HASTA 42);SDSDFSFDSFV CGVB@GMAIL.COM;AXC1569982
154503454;JOSE ERNESTO;GONZALEZ MIRANDA;1961-04-20;3004586798;KRA 3 No.4-59 SUR;FACT010;PRO7;BOTA ALPINISTA UNDERARMOR  XL3X ARENA  (TALLA 27 HASTA 42);SDLJSDKJHSF54566@GMAIL.COM;AXC1569983
155004558;OSCAR;ARIAS QUEVEDO;1969-06-17;3004586799;KRA 3 No.4-59 SUR;FACT011;PRO11;ZAPATILA MARCA ADIDAS AERODINAMICA X100 , COLOR BLANCO (TALLA 8 HASTA 46);LKDJSD6@GMAIL.COM;AXC1569984
15503447;GILMARIO;CORTES VILLAMIL;1970-07-21;3004586800;KRA 3 No.4-59 SUR;FACT012;PRO12;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);DOPDSADMSLD6@GMAIL.COM;AXC1569985
15503642;JESUS ANTONIO;CUERVO;1967-12-11;3004586801;KRA 3 No.4-59 SUR;FACT013;PRO7;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);DARPA@GMAIL.COM;AXC1569986
15503643;ASTRID CELESTE;VILLA GUARDIOLA;1968-03-20;3004586802;KRA 3 No.4-59 SUR;FACT014;PRO8;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);PYETEV586@GMAIL.COM;AXC1569987
15503660;JOSE ISAIAS;GOMEZ FAJARDO;1978-01-24;3004586803;KRA 3 No.4-59 SUR;FACT015;PRO3;BOTA ALPINISTA UNDERARMOR  XL3X ARENA  (TALLA 27 HASTA 42);POILIU5452@GMAIL.COM;AXC1569988
15503664;LUIS ALBERTO;BEDOYA OCAMPO;1971-11-19;3004586804;KRA 3 No.4-59 SUR;FACT016;PRO1;BOTA ALPINISTA AZUL TIMBERLAND HIPOALERGICA TERMICA  (TALLA 27 HASTA 42);PPOIUUJ5631@GMAIL.COM;AXC1569989
1550366459;JULIO CESAR;CABRERA;1973-04-16;3004586805;KRA 3 No.4-59 SUR;FACT017;PRO12;ZAPATILA MARCA NIKE SUPERSTAR , COLOR VERDE (TALLA 8 HASTA 46);LJKNMNASB4533@GMAIL.COM;AXC1569990
1550366462;JOSE DOMINGO;GUTIERREZ MORALES;1974-04-28;3004586806;KRA 3 No.4-59 SUR;FACT018;PRO3;BOTA ALPINISTA UNDERARMOR  XL3X ARENA  (TALLA 27 HASTA 42);POLIUSBD5698@GMAIL.COM;AXC1569991
1550366856;MARIA;GONZALEZ PUERTO;1975-07-12;3004586807;KRA 3 No.4-59 SUR;FACT019;PRO4;BOTA ALPINISTA AMARILLA UNDERARMOR  (TALLA 27 HASTA 42);POL89154@GMAIL.COM;AXC1569992
