NUMERO_CLIENTE;FECHA_DE_INICIO;HORA_INICIO;HORA_FINAL;TIPO_DE_DOCUMENTO;ID_USUARIO;NOMBRES;APELLIDOS;FECHA_DE_NACIMIENTO;CONTRASEÑA;GENERO;TELEFONO;DIRECCION;CORREO_ELECTRONICO;Id_FACTURA;Id_PRODUCTO
18;2022-01-18;08:05:00;08:40:00;CC;10366453;JOSE ENRIQUE;GONZALEZ;1974-04-28;GWQE;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;POLIUSBD5698@GMAIL.COM;FACT018;PRO6
31;2022-01-31;14:00:00;14:50:00;CC;10366466;VICTOR MANUEL;ARIAS PEREZ;1958-12-19;ARFSD;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;AOSJASHKD6@GMAIL.COM;FACT031;PRO7
36;2022-02-05;15:05:00;17:59:00;CC;10366471;DERLY;DELGADO GIL;1978-09-25;DELGADO5;FEMENINO ;2147483647;KRA 3 No.4-59 SUR;ANOCHER@GMAIL.COM;FACT036;PRO12
6;2022-01-06;08:35:00;09:40:00;CC;12622881;ARMANDO SEGUNDO;CORRO HERNANDEZ;1975-07-27;her45454512;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;OPKDSD68925@GMAIL.COM;FACT006;PRO6
10;2022-01-10;14:52:00;15:50:00;CC;15036645;OLGA CECILIA;GARCIA DE MEJIA;1961-04-20;gaeqe96;FEMENINO;2147483647;KRA 3 No.4-59 SUR;SDLJSDKJHSF54566@GMAIL.COM;FACT010;PRO10
20;2022-01-20;10:10:00;10:49:00;CC;150366455;ISRAEL;HERRERA GONGORA;1978-09-08;ASADD;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;POLICIUSD54332@GMAIL.COM;FACT020;PRO8
21;2022-01-21;10:55:00;11:31:00;CC;150366456;CARMEN;LOPEZ PAREDES;1978-10-11;UFGFUJI523;FEMENINO ;2147483647;KRA 3 No.4-59 SUR;POOUYH4562@GMAIL.COM;FACT021;PRO9
30;2022-01-30;17:10:00;18:00:00;CC;150366465;GUSTAVO;GARCIA MOLINA;1958-11-01;GASVHASL;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;ABTEIÑL6@GMAIL.COM;FACT030;PRO6
14;2022-01-14;10:55:00;11:31:00;CE;150644990;WILSON DE JESUS;ANDRADE BERTEL;1968-03-20;AFDSD44;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;PYETEV586@GMAIL.COM;FACT014;PRO2
19;2022-01-19;08:45:00;09:43:00;CE;154503454;JOSE ERNESTO;GONZALEZ MIRANDA;1975-07-12;DSASDSDSFD5;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;POL89154@GMAIL.COM;FACT019;PRO7
35;2022-02-04;13:39:00;15:01:00;CC;155004558;OSCAR;ARIAS QUEVEDO;1975-01-22;ARIESQ;MASCULINO ;2147483647;KRA 5 No.4-59 SUR;OSDJNSMND6@GMAIL.COM;FACT035;PRO11
12;2022-01-12;08:45:00;09:43:00;CC;15503447;GILMARIO;CORTES VILLAMIL;1970-07-21;cort985;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;DOPDSADMSLD6@GMAIL.COM;FACT012;PRO12
7;2022-01-07;09:45:00;10:40:00;CC;15503642;JESUS ANTONIO;CUERVO;1969-12-01;cerwr55;MASCULINO ;2147483647;KRA 31No.4-59 SUR;PAOSKAOS56362@GMAIL.COM;FACT007;PRO7
8;2022-01-08;10:55:00;11:45:00;CE;15503643;ASTRID CELESTE;VILLA GUARDIOLA;1977-08-10;v54545;FEMENINO;2147483647;CALLE 3 SUR;O466@GMAIL.COM;FACT008;PRO8
15;2022-01-15;11:33:00;12:00:00;CE;15503660;JOSE ISAIAS;GOMEZ FAJARDO;1978-01-24;G454;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;POILIU5452@GMAIL.COM;FACT015;PRO3
13;2022-01-13;10:10:00;10:49:00;CC;15503664;LUIS ALBERTO;BEDOYA OCAMPO;1967-12-11;bedoya54454;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;DARPA@GMAIL.COM;FACT013;PRO1
24;2022-01-24;09:00:00;09:55:00;CE;1550366459;JULIO CESAR;CABRERA;1996-12-19;CADS;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;LJKJSKDN4583@GMAIL.COM;FACT024;PRO12
27;2022-01-27;14:00:00;15:05:00;CC;1550366462;JOSE DOMINGO;GUTIERREZ MORALES;1996-12-19;DSDKOL{Ñ5;MASCULINO ;2147483647;KRA 3 No.4-59 SUR;PILIEPA456@GMAIL.COM;FACT027;PRO3
28;2022-01-28;15:10:00;16:10:00;CE;1550366856;MARIA;GONZALEZ PUERTO;1996-12-19;GONSAALS,M6685;FEMENINO;2147483647;KRA 3 No.4-59 SUR;POILEM535@GMAIL.COM;FACT028;PRO4
9;2022-01-09;14:00:00;14:50:00;CC;15506444;MARTHA LUCIA;NUÑEZ CUERVO;1977-10-23;nuñ78;FEMENINO;2147483647;CALLE 2 SUR;SDSDFSFDSFV CGVB@GMAIL.COM;FACT009;PRO9
